B4,B3,B2,B5,B8,yield
1987.5,1876.5,1970.5,2183.5,2824,0.31125
2241,2103,2189,2400,3206,3.4675
2388,2042,2094,2565,3296,0.635625
2348.5,2106,2138.5,2527.5,3147.5,0.4575
2182,2014,2109,2410,3093,3.44
2339,2054,2103,2524,3244,0.338
2309,2078,2133,2537,3358,0.53975
2299,2031,2110,2474,3109,0.699875
2267,2078,2120,2472,3165,0.74375
2073,1955.5,2031.5,2271,2931.5,1.90875
2130,1978,2058,2348,3158,0.389125
1985,1937,2043,2145,2755,2.4975
2230,2088.5,2136.5,2467,3165.5,0.053125
2333,2091,2125,2551,3365,0.576875
7.07,2013,2092,2372,3125,1.246875
1998,1985,2080,2226,3057,1.665625
2302,2116,2173,2499,3223,0.945
2201,2015,2073,2372,3015,0.58375
2141,2003,2070,2385,3229,0.614375
2640,2239.5,2195,2867,3549,8.2
2269,2085,2103,2527,3369,2.163125
2342,2135.5,2159.5,2553,3225,5.54375
7.455,2009,2066,2428,3339,1.315625
10.655,2236,2223,2860,3546,1.624375
2048,1947,2037,2295,3198,2.324375
2789.5,2422.5,2395.5,2948,3552.5,0.736875
3149,2747.5,2632,3339.5,4044.5,1.413125
8.845,2010,2044,2522,3220,1.83375
12.8825,2335.5,2313.5,2857,3573,2.44875
2250,2060.5,2063.44444444444,2522,3239.14285714286,4.94625
2141,2024,2094.5,2366,2998.5,2.9125
2315.5,2103,2128.5,2571.5,3301.5,4.289375
2534,2256,2220,2718,3275,2.7975
2159,2069,2084,2429,3176,3.425
19.26,2165,2141,2624,3342,2.91375
2700.5,2271.5,2240.5,2878.5,3436.5,3.41625
2240,2098,2161,2489,3342,6.015
2431,2131,2144,2684,3339,2.4925
2108,1985,2051.5,2356,3075,1.5075
2423.5,2166,2187.5,2664.5,3460,4.175
2166.4,1982.86928104575,2039.2,2393,3145.28571428571,1.445625
7.785,2006,2040,2362,3118,1.406875
2551.5,2296,2287.5,2783,3624.5,5.67125
1981,1979.5,2011.5,2303,2796.5,3.16
2388,2151.5,2191.5,2587,3157.5,2.539375
1877.5,1861,1942,2122.5,3004,2.248125
2650,2375.5,2318.5,2918,3684,3.97375
1970,1889,1960,2196,2905,3.11
2116,2004,2033,2409,3246,5.1025
2614,2248,2166,2809.5,3269,0.389375
2412,2106,2086,2663,3306,2.908125
13.9225,2102,2086,2597,3277,2.84875
2407.5,2098.5,2103.5,2625.5,3356.5,7.70125
2379,2078,2099,2598.5,3212.5,4.35875
2499.5,2203,2188.5,2709,3323,1.825625
2586,2212.5,2166.5,2757,3240.5,2.99625
2144,1972.5,2031.5,2402.5,3176.5,3.4025
2273,2055,2094.5,2493.5,3252.5,2.798125
2297.5,2102.5,2118,2551.5,3391,2.485
2298.5,2106.5,2110.5,2563.5,3580,3.86125
2654.5,2303,2273,2885,3651.5,3.56
2488.5,2208.5,2213,2695.5,3485.5,3.94625
2315,2127.5,2171,2527,3249,1.17875
2440.5,2208,2231,2704.5,3377,4.6
2797,2418.5,2382.5,2973.5,3544.5,1.2775
2252.5,2109,2163.5,2474.5,3101.5,4.63625
20.03,2085,2148,2387,3151,3.63875
2395.5,2145.5,2165.5,2539,2963.5,0.691875
2213.5,2042.5,2076,2428.5,3075.5,8.47
1947,1939,1985.5,2287,3165.5,2.66725
2263,2073.5,2098,2548.5,3328,1.266875
33.77,2071,2083,2604.5,3140.5,4.55375
2419.5,2100,2101,2667.5,3472.5,4.46875
1968,1934,1986,2274,3125,1.593125
11.725,1989.5,2040.5,2383.5,3290.5,2.42
21.425,2361.5,2326,2952,3612.5,4.24
2065,1967.46666666667,2015.31428571429,2343,3154.275,1.2675
2538.5,2233,2239,2738.5,3372.5,2.57125
2297,2084.5,2092.5,2552,3369,5.18125
